96F6	{ 零 }	大寫〇(daai6 se2 ling4)
58F9	{ 壹 }	大寫一(daai6 se2 jat1)
8CB3	{ 貳 }	大寫二(daai6 se2 ji6)
53C1	{ 叁 }	大寫三(daai6 se2 saam1)
8086	{ 肆 }	大寫四(daai6 se2 sei3)
4F0D	{ 伍 }	大寫五(daai6 se2 ng5)
9678	{ 陸 }	大寫六(daai6 se2 luk6)
67D2	{ 柒 }	大寫七(daai6 se2 cat1)
634C	{ 捌 }	大寫八(daai6 se2 baat3)
7396	{ 玖 }	大寫九(daai6 se2 gau2)
62FE	{ 拾 }	大寫十(daai6 se2 sap6)
4F70	{ 佰 }	大寫百(daai6 se2 baak3)
4EDF	{ 仟 }	大寫千(daai6 se2 cin1)
2070	{ ⁰ }	上標零(soeng6 biu1 ling4), 零次方(ling4 ci3 fong1), 零次冪(ling4 ci3 mik6)
B9	{ ¹ }	上標一(soeng6 biu1 jat1), 一次方(jat1 ci3 fong1), 一次冪(jat1 ci3 mik6)
B2	{ ² }	上標二(soeng6 biu1 ji6), 二次方(ji6 ci3 fong1), 兩次方(loeng5 ci3 fong1), 平方(ping4 fong1), 二次冪(ji6 ci3 mik6)
B3	{ ³ }	上標三(soeng6 biu1 saam1), 三次方(saam1 ci3 fong1), 立方(lap6 fong1), 三次冪(saam1 ci3 mik6)
2074	{ ⁴ }	上標四(soeng6 biu1 sei3), 四次方(sei3 ci3 fong1), 四次冪(sei3 ci3 mik6)
2075	{ ⁵ }	上標五(soeng6 biu1 ng5), 五次方(ng5 ci3 fong1), 五次冪(ng5 ci3 mik6)
2076	{ ⁶ }	上標六(soeng6 biu1 luk6), 六次方(luk6 ci3 fong1), 六次冪(luk6 ci3 mik6)
2077	{ ⁷ }	上標七(soeng6 biu1 cat1), 七次方(cat1 ci3 fong1), 七次冪(cat1 ci3 mik6)
2078	{ ⁸ }	上標八(soeng6 biu1 baat3), 八次方(baat3 ci3 fong1), 八次冪(baat3 ci3 mik6)
2079	{ ⁹ }	上標九(soeng6 biu1 gau2), 九次方(gau2 ci3 fong1), 九次冪(gau2 ci3 mik6)
2080	{ ₀ }	下標零(haa6 biu1 ling4), 腳標零(goek3 biu1 ling4)
2081	{ ₁ }	下標一(haa6 biu1 jat1), 腳標一(goek3 biu1 jat1)
2082	{ ₂ }	下標二(haa6 biu1 ji6), 腳標二(goek3 biu1 ji6)
2083	{ ₃ }	下標三(haa6 biu1 saam1), 腳標三(goek3 biu1 saam1)
2084	{ ₄ }	下標四(haa6 biu1 sei3), 腳標四(goek3 biu1 sei3)
2085	{ ₅ }	下標五(haa6 biu1 ng5), 腳標五(goek3 biu1 ng5)
2086	{ ₆ }	下標六(haa6 biu1 luk6), 腳標六(goek3 biu1 luk6)
2087	{ ₇ }	下標七(haa6 biu1 cat1), 腳標七(goek3 biu1 cat1)
2088	{ ₈ }	下標八(haa6 biu1 baat3), 腳標八(goek3 biu1 baat3)
2089	{ ₉ }	下標九(haa6 biu1 gau2), 腳標九(goek3 biu1 gau2)
BD	{ ½ }	二分之一(ji6 fan6 zi1 jat1)
2153	{ ⅓ }	三分之一(saam1 fan6 zi1 jat1)
2154	{ ⅔ }	三分之二(saam1 fan6 zi1 ji6)
BC	{ ¼ }	四分之一(sei3 fan6 zi1 jat1)
2155	{ ⅕ }	五分之一(ng5 fan6 zi1 jat1)
2159	{ ⅙ }	六分之一(luk6 fan6 zi1 jat1)
2150	{ ⅐ }	七分之一(cat1 fan6 zi1 jat1)
215B	{ ⅛ }	八分之一(baat3 fan6 zi1 jat1)
2151	{ ⅑ }	九分之一(gau2 fan6 zi1 jat1)
2152	{ ⅒ }	十分之一(sap6 fan6 zi1 jat1)
25	{ % }	百分號(baak3 fan6 hou6), 百分(baak3 fan6)
2030	{ ‰ }	千分號(cin1 fan6 hou6), 千分(cin1 fan6)
2031	{ ‱ }	萬分號(maan6 fan6 hou6), 萬分(maan6 fan6)
2116	{ № }	序號(zeoi6 hou6), 數號(sou3 hou6), 數字符號(sou3 zi6 fu4 hou6), 數字號(sou3 zi6 hou6)
24EA	{ ⓪ }	零(ling4), 〇(ling4)
2460	{ ① }	一(jat1)
2461	{ ② }	二(ji6)
2462	{ ③ }	三(saam1)
2463	{ ④ }	四(sei3)
